diet78174,Basil,100,g
diet78174,Beets,200,g
diet78174,Broccoli raab,100,g
diet78174,Cabbage red,100,g
diet78174,Cactus,100,g
diet78174,Candy,100,g
diet78174,Cereal,100,g
diet78174,Cilantro,100,g
diet78174,Collards,200,g
diet78174,Corn,100,g
diet78174,Fruit nectar,100,g
diet78174,Granola,100,g
diet78174,Ground meat,100,g
diet78174,Ice cream,100,g
diet78174,Leek,100,g
diet78174,Lime,100,g
diet78174,Luncheon meat,100,g
diet78174,Lychee,100,g
diet78174,Mixed nuts,100,g
diet78174,Muffin,100,g
diet78174,Mushroom soup,100,g
diet78174,Mushrooms,100,g
diet78174,Mustard greens,100,g
diet78174,Nectarine,100,g
diet78174,Olives,200,g
diet78174,Papaya,100,g
diet78174,Pepper,100,g
diet78174,Persimmon,100,g
diet78174,Pineapple,100,g
diet78174,Raw vegetable,100,g
diet78174,Rice Flakes,100,g
diet78174,Seaweed,100,g
diet78174,Sugar,100,g
diet78174,Sweet potato,100,g
diet78174,Syrup,100,g
diet78174,Tomato soup,100,g
diet78174,Tortilla,100,g
diet79712,Avocado,100,g
diet79712,Basil,100,g
diet79712,Beans lima,100,g
diet79712,Beef sandwich,100,g
diet79712,Berries,100,g
diet79712,Cactus,100,g
diet79712,Cereal,100,g
diet79712,Cilantro,100,g
diet79712,Cold cut,100,g
diet79712,Corn flakes,100,g
diet79712,Cress,100,g
diet79712,Cruller,100,g
diet79712,Fig,100,g
diet79712,Garlic,100,g
diet79712,Granola,100,g
diet79712,Mango,100,g
diet79712,Muffin,100,g
diet79712,Mushroom soup,100,g
diet79712,Mustard greens,100,g
diet79712,Oat cereal,100,g
diet79712,Paella,100,g
diet79712,Peanuts,100,g
diet79712,Pear,100,g
diet79712,Pepper,100,g
diet79712,Pepper banana,100,g
diet79712,Persimmon,100,g
diet79712,Pomegranate,100,g
diet79712,Protein powder,100,g
diet79712,Radicchio,100,g
diet79712,Radish,100,g
diet79712,Raisin bran,100,g
diet79712,Raw vegetable,100,g
diet79712,Salami,100,g
diet79712,Salsa,100,g
diet79712,Soup,100,g
diet79712,Tomatoes,100,g
diet79712,Wine table red,100,g
diet81220,Asparagus,100,g
diet81220,Avocado,100,g
diet81220,Beer,200,g
diet81220,Beet greens,100,g
diet81220,Cereal cooked,200,g
diet81220,Cold cut,100,g
diet81220,Corn flakes,200,g
diet81220,Cruller,100,g
diet81220,Fruit nectar,100,g
diet81220,Garlic,100,g
diet81220,Goulash,100,g
diet81220,Granola,100,g
diet81220,Granola bar,100,g
diet81220,Kiwi fruit,100,g
diet81220,Leek,200,g
diet81220,Lime,100,g
diet81220,Meat sandwich,100,g
diet81220,Olives,100,g
diet81220,Orange,100,g
diet81220,Pad Thai,100,g
diet81220,Passion fruit,100,g
diet81220,Peanuts,100,g
diet81220,Persimmon,100,g
diet81220,Pie,100,g
diet81220,Pie fried,100,g
diet81220,Pineapple,200,g
diet81220,Rice soup,100,g
diet81220,Rice cooked,100,g
diet81220,Rice fried,100,g
diet81220,Rum,100,g
diet81220,Rutabaga,100,g
diet81220,Soup,100,g
diet81220,Soup cream of,100,g
diet81220,Syrup,100,g
diet81220,Tangerine,100,g
diet81220,Turkey,100,g
diet81220,Watercress,200,g
diet82446,Apple,100,g
diet82446,Bologna,100,g
diet82446,Broccoflower,100,g
diet82446,Cabbage red,200,g
diet82446,Cactus,200,g
diet82446,Cassaba melon,100,g
diet82446,Cauliflower,100,g
diet82446,Chewing gum,100,g
diet82446,Cilantro,100,g
diet82446,Corn flakes,100,g
diet82446,Cruller,200,g
diet82446,Cucumber,100,g
diet82446,Fennel bulb,100,g
diet82446,Fruit juice,100,g
diet82446,Fruit Rings,200,g
diet82446,Granola bar,100,g
diet82446,Ground meat,100,g
diet82446,Juneberry,100,g
diet82446,Kumquat,100,g
diet82446,Lime,100,g
diet82446,Noodle soup,100,g
diet82446,Onions mature,100,g
diet82446,Pancake syrup,100,g
diet82446,Papaya,100,g
diet82446,Pear,100,g
diet82446,Pepper,100,g
diet82446,Pie fried,200,g
diet82446,Rice cooked,100,g
diet82446,Rice fried,100,g
diet82446,Soup cream of,100,g
diet82446,Sprouts,100,g
diet82446,Syrup,100,g
diet82446,Tangelo,100,g
diet82446,Turnip,100,g
diet82446,Wine table red,100,g
diet82446,Wine table white,100,g
diet85327,Beet greens,100,g
diet85327,Berries,100,g
diet85327,Broccoflower,100,g
diet85327,Butter,200,g
diet85327,Cashew nuts,100,g
diet85327,Cereal,100,g
diet85327,Corn,100,g
diet85327,Cruller,100,g
diet85327,Eggplant,100,g
diet85327,Fennel bulb,100,g
diet85327,Fruit Rings,100,g
diet85327,Granola,100,g
diet85327,Jicama,100,g
diet85327,Lychee,100,g
diet85327,Muffin,100,g
diet85327,Mustard greens,100,g
diet85327,Onions mature,100,g
diet85327,Orange,200,g
diet85327,Orange juice,100,g
diet85327,Papaya,100,g
diet85327,Peach,100,g
diet85327,Peanuts,100,g
diet85327,Pepper,100,g
diet85327,Pineapple,100,g
diet85327,Pretzels,100,g
diet85327,Radicchio,100,g
diet85327,Rice cooked,100,g
diet85327,Soup,100,g
diet85327,Spinach,100,g
diet85327,Stew,100,g
diet85327,Tamarind,100,g
diet85327,Tangerine,100,g
diet85327,Tortilla,100,g
diet85327,Turnip,100,g
diet85327,Venison/deer,100,g
diet85327,Watercress,100,g
diet85327,White potato,100,g
diet86837,Apple,200,g
diet86837,Asparagus,100,g
diet86837,Beef sandwich,100,g
diet86837,Beet greens,100,g
diet86837,Butter,100,g
diet86837,Cactus,100,g
diet86837,Candy,100,g
diet86837,Cheese,100,g
diet86837,Chives,100,g
diet86837,Cocktail,100,g
diet86837,Frosted rice,100,g
diet86837,Fruit nectar,100,g
diet86837,Garlic,100,g
diet86837,Gin,100,g
diet86837,Granola bar,100,g
diet86837,Guava,200,g
diet86837,Ice cream,100,g
diet86837,Kohlrabi,100,g
diet86837,Lemon,100,g
diet86837,Mixed nuts,100,g
diet86837,Mueslix cereal,100,g
diet86837,Orange,200,g
diet86837,Pancake syrup,100,g
diet86837,Passion fruit,100,g
diet86837,Pear,100,g
diet86837,Peas green,100,g
diet86837,Pie,100,g
diet86837,Protein powder,100,g
diet86837,Pudding,100,g
diet86837,Rice Flakes,100,g
diet86837,Rum,100,g
diet86837,Soft drink,200,g
diet86837,Soup cream of,100,g
diet86837,Table fat,100,g
diet86837,Turkey,100,g
diet86837,Turnip,100,g
diet86837,Whiskey,100,g
diet89291,Asparagus,100,g
diet89291,Beans lima,100,g
diet89291,Broccoflower,100,g
diet89291,Broccoli,100,g
diet89291,Broccoli raab,100,g
diet89291,Cactus,100,g
diet89291,Cookie,100,g
diet89291,Corn flakes,100,g
diet89291,Cress,100,g
diet89291,Cucumber,100,g
diet89291,Eggplant,100,g
diet89291,Fennel bulb,100,g
diet89291,Kohlrabi,200,g
diet89291,Kumquat,100,g
diet89291,Lychee,100,g
diet89291,Mixed nuts,100,g
diet89291,Orange,100,g
diet89291,Papaya,100,g
diet89291,Peach,100,g
diet89291,Pear,100,g
diet89291,Pepper banana,100,g
diet89291,Pie fried,100,g
diet89291,Pineapple,100,g
diet89291,Plum,100,g
diet89291,Pretzels,200,g
diet89291,Radicchio,100,g
diet89291,Radish,100,g
diet89291,Rice Flakes,100,g
diet89291,Salsa,100,g
diet89291,Soft drink,100,g
diet89291,Soup cream of,200,g
diet89291,Sprouts,100,g
diet89291,Stew,100,g
diet89291,Sweet potato,100,g
diet89291,Tamarind,100,g
diet89291,Turnip,100,g
diet89291,Watercress,100,g
diet92667,Apricot,100,g
diet92667,Beet greens,100,g
diet92667,Bologna,100,g
diet92667,Breakfast bar,100,g
diet92667,Broccoli raab,200,g
diet92667,Cashew nuts,100,g
diet92667,Collards,200,g
diet92667,Fruit juice,100,g
diet92667,Gin,100,g
diet92667,Ice cream,100,g
diet92667,Juneberry,200,g
diet92667,Leek,200,g
diet92667,Lettuce,200,g
diet92667,Lo mein,100,g
diet92667,Lychee,200,g
diet92667,Meat,100,g
diet92667,Mixed nuts,100,g
diet92667,Nectarine,100,g
diet92667,Passion fruit,100,g
diet92667,Peach,100,g
diet92667,Peanuts,100,g
diet92667,Pie,100,g
diet92667,Protein powder,100,g
diet92667,Pudding,100,g
diet92667,Radicchio,100,g
diet92667,Raw vegetable,100,g
diet92667,Rhubarb,200,g
diet92667,Rice Flakes,200,g
diet92667,Rice fried,100,g
diet92667,Salsa,200,g
diet92667,Soup cream of,100,g
diet92667,Stew,200,g
diet92667,Sugar,100,g
diet92667,Tangelo,100,g
diet92667,Tomato soup,200,g
diet92667,Vodka,100,g
diet92667,Whiskey,100,g
diet93064,Avocado,100,g
diet93064,Bean soup,100,g
diet93064,Beer,100,g
diet93064,Beets,100,g
diet93064,Breakfast bar,100,g
diet93064,Broccoflower,200,g
diet93064,Cabbage green,100,g
diet93064,Candy,100,g
diet93064,Carrots,100,g
diet93064,Cauliflower,100,g
diet93064,Chex cereal,100,g
diet93064,Collards,300,g
diet93064,Cookie,100,g
diet93064,Corn flakes,100,g
diet93064,Fennel bulb,100,g
diet93064,Fruit nectar,100,g
diet93064,Fruit Rings,100,g
diet93064,Gin,100,g
diet93064,Grapefruit,100,g
diet93064,Kumquat,100,g
diet93064,Lettuce,100,g
diet93064,Mango,100,g
diet93064,Meat,100,g
diet93064,Muffin,100,g
diet93064,Noodle soup,100,g
diet93064,Olives,100,g
diet93064,Orange,200,g
diet93064,Parsley,100,g
diet93064,Pear,100,g
diet93064,Pomegranate,100,g
diet93064,Ripe plantain,200,g
diet93064,Rum,200,g
diet93064,Spinach,200,g
diet93064,Sprouts,100,g
diet93064,Tomato soup,100,g
diet93064,Watercress,100,g
diet93064,White potato,100,g
diet93389,Beet greens,100,g
diet93389,Candy,100,g
diet93389,Cassaba melon,100,g
diet93389,Celery,100,g
diet93389,Cheese,200,g
diet93389,Cilantro,100,g
diet93389,Cress,100,g
diet93389,Cruller,100,g
diet93389,Currants,100,g
diet93389,Frosted rice,100,g
diet93389,Goulash,100,g
diet93389,Granola,100,g
diet93389,Ground meat,100,g
diet93389,Guava,100,g
diet93389,Honeydew melon,100,g
diet93389,Juneberry,100,g
diet93389,Lime,100,g
diet93389,Margarine,100,g
diet93389,Meat,100,g
diet93389,Mixed nuts,100,g
diet93389,Mueslix cereal,100,g
diet93389,Mushroom soup,100,g
diet93389,Pancake syrup,100,g
diet93389,Peach,100,g
diet93389,Pepper,100,g
diet93389,Pie,100,g
diet93389,Pie fried,100,g
diet93389,Raisin bran,100,g
diet93389,Salami,100,g
diet93389,Seaweed,200,g
diet93389,Sugar,200,g
diet93389,Sweet potato,100,g
diet93389,Table fat,100,g
diet93389,Tamarind,100,g
diet93389,Tangerine,100,g
diet93389,Vodka,100,g
diet93389,Watercress,100,g
diet95846,Avocado,100,g
diet95846,Bean soup,100,g
diet95846,Beets,100,g
diet95846,Berries,100,g
diet95846,Bologna,100,g
diet95846,Broccoflower,100,g
diet95846,Cassaba melon,100,g
diet95846,Cereal,100,g
diet95846,Chard,100,g
diet95846,Cocktail,100,g
diet95846,Collards,100,g
diet95846,Frozen dinner,100,g
diet95846,Granola,200,g
diet95846,Honeydew melon,200,g
diet95846,Ice cream,100,g
diet95846,Jicama,100,g
diet95846,Kiwi fruit,100,g
diet95846,Lo mein,200,g
diet95846,Margarine,100,g
diet95846,Meat sandwich,100,g
diet95846,Mixed nuts,100,g
diet95846,Onions mature,100,g
diet95846,Orange,100,g
diet95846,Pad Thai,100,g
diet95846,Passion fruit,200,g
diet95846,Peanuts,100,g
diet95846,Pepper banana,100,g
diet95846,Raw vegetable,100,g
diet95846,Rice soup,100,g
diet95846,Ripe plantain,100,g
diet95846,Stew,100,g
diet95846,Sweet potato,100,g
diet95846,Tangerine,100,g
diet95846,Tomato soup,100,g
diet95846,Venison/deer,100,g
diet95846,Wine table red,100,g
